SKU,Name,Image,colour1,percent1,colour2,percent2,colour3,percent3
9780735303997,"Mudpuppy Nature's ABC Block Puzzle by Mudpuppy","https://dynamic.indigoimages.ca/gifts/9780735303997.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,36.0,BROWN,24.0,GREEN,18.0
9780735306554,"Mudpuppy World Map Floor Puzzle by Mudpuppy","https://dynamic.indigoimages.ca/gifts/9780735306554.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,46.0,GREY/WHITE,22.0,PURPLE,12.0
000772093040,"Melissa & Doug Kitchen Accessory Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772093040.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,72.0
000772093422,"Melissa & Doug Wooden Flip & Serve Pancake Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772093422.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,40.0,BLUE,27.0,BROWN,11.0
000772093460,"Melissa & Doug Wooden Press & Serve Waffle Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772093460.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,57.0
000772093521,"Melissa & Doug Let's Play House! Wash Dry & Iron by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772093521.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,53.0,BLUE,23.0,PURPLE,8.0
000772093576,"Melissa & Doug Seasoning Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772093576.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,77.0
634680227053,"Medium Red Plaid Trees Gift Bag by Indigo","https://dynamic.indigoimages.ca/gifts/634680227053.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",RED,65.0,BROWN,22.0,BLACK,5.0
641945980400,"Walking Dead: #1 Rick Grimes - Collector's Model","https://dynamic.indigoimages.ca/gifts/641945980400.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,32.0,BLACK,30.0,BROWN,19.0
641945980479,"Walking Dead: #8 Carol - Collector's Model","https://dynamic.indigoimages.ca/gifts/641945980479.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLACK,51.0,GREY/WHITE,28.0,BROWN,10.0
000772093613,"Melissa & Doug Perfect Pasta Play Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772093613.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,47.0
000772093972,"Melissa & Doug Shape-Sorting Dump Truck by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772093972.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,43.0,BLUE,28.0,GREEN,8.0
000772093989,"Number Matching Math Bus","https://dynamic.indigoimages.ca/gifts/000772093989.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,36.0,YELLOW,25.0,GREY/WHITE,22.0
000772101455,"Magnetic Chalkboard and Dry-Erase Board by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772101455.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,18.0,BLACK,17.0,YELLOW,16.0
000772101677,"Wooden Pizza by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772101677.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,35.0,PINK,25.0,BROWN,15.0
000772102674,"Classic Vehicles Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772102674.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",ORANGE,32.0,GREY/WHITE,23.0,PINK,11.0
000772102681,"Classic Farm Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772102681.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",ORANGE,37.0
000772102698,"Classic Zoo Sound Puzzle","https://dynamic.indigoimages.ca/gifts/000772102698.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",ORANGE,27.0,GREY/WHITE,24.0,PINK,19.0
000772102711,"Food Groups Wooden Play Food by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772102711.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,23.0,BROWN,21.0,PINK,14.0
000772102896,"Pull-Along Zoo Animals","https://dynamic.indigoimages.ca/gifts/000772102896.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,25.0,YELLOW,17.0,GREY/WHITE,17.0
000772104135,"Solar System Floor Puzzle - 48 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772104135.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLACK,40.0,GREY/WHITE,28.0,BLUE,10.0
000772104241,"Alphabet Train Floor Puzzle - 28 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772104241.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,56.0
737872815370,"UGG Cassie - Leopard Baby Pink  by UGG","https://dynamic.indigoimages.ca/gifts/737872815370.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,47.0,PINK,37.0
771772610987,"Gray Pinecone Ornament","https://dynamic.indigoimages.ca/gifts/771772610987.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,66.0,BROWN,30.0
